Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
36	0.22999999	0.50408334	1.0	-0.1	360.9	0.018783286	0.06348893	0.103512645	-0.086547166	185000	8.940697e-09	0.033160307	-0.0033661998	-0.00676582	0.8783248	0.015084827	0.1964	5.0	165.45169234275818
37	0.10625	0.4293436	1.0	-0.1	293.5625	0.05940786	0.02597242	0.09306875	-0.01821978	190000	1.1920929e-08	0.030032933	-0.0042670458	-0.0025158294	0.8787491	0.011974354	0.12100001	79.0	170.79143738746643
38	-0.1	0.0	-0.1	-0.1	290.66666	0.03773384	0.030444518	0.07337521	-0.05783935	195000	-1.0430813e-08	0.005846267	-0.005763795	-0.004848636	0.8490084	0.006179138	0.098000005	79.0	176.03432202339172
39	0.26666665	0.518545	1.0	-0.1	271.6	-0.023565829	0.01077804	-0.0045576952	-0.0523323	200000	2.9802323e-09	0.053395547	-0.0038750335	-0.01904107	0.8662403	0.004477809	0.0666	79.0	181.3768880367279
40	0.41764706	0.54904765	1.0	-0.1	254.88235	0.08461057	0.1066703	0.25725535	-0.057763834	205000	1.4901161e-08	0.041422617	-0.0023974471	-0.008987571	0.84926355	0.00494673	0.039600004	79.0	186.7910499572754
41	0.3277778	0.53624785	1.0	-0.1	246.05556	0.14649697	0.1582319	0.39120868	-0.10366644	210000	2.682209e-08	0.048967436	-0.003084071	-0.021653304	0.83790076	0.0077335304	0.073	79.0	192.0472640991211
42	0.5368421	0.5431008	1.0	-0.1	232.52632	0.02278063	0.13763583	0.47595167	-0.10440573	215000	3.2782555e-08	0.084715664	-0.0038868617	-0.03242193	0.8315833	0.00529269	0.0836	79.0	197.42919039726257
43	0.45000002	0.54999995	1.0	-0.1	212.63637	0.23810098	0.17694841	0.5600206	-0.032468114	220000	2.682209e-08	0.10336677	-0.0040847855	-0.033857334	0.811652	0.008110037	0.0692	79.0	202.8113317489624
44	0.35000002	0.5408327	1.0	-0.1	190.54546	0.1300032	0.1162694	0.40676397	-0.0870389	225000	-5.9604646e-09	0.08999382	-0.005553052	-0.03831582	0.79973143	0.010783596	0.1102	79.0	208.19194841384888
45	0.25	0.5123476	1.0	-0.1	194.40909	0.13861762	0.1254681	0.3580989	-0.15214165	230000	-2.9802323e-09	0.078677066	-0.0034949363	-0.037438292	0.7960183	0.015666667	0.17840001	4.0	210.59672832489014
46	0.4076923	0.54837036	1.0	-0.1	163.96153	0.1727467	0.1610106	0.5001954	-0.13477519	235000	2.3841858e-08	0.08189318	-0.0045560375	-0.035995167	0.79633725	0.009837051	0.111	79.0	216.17990374565125
47	0.46896553	0.5496729	1.0	-0.1	159.55173	0.14710405	0.19689324	0.43413445	-0.13690165	240000	-2.0861625e-08	0.07313226	-0.0062128073	-0.035775173	0.7772344	0.0066410773	0.095599994	79.0	221.51448369026184
48	0.6464286	0.51372737	1.0	-0.1	163.03572	0.2922071	0.18251356	0.6199814	-0.17586425	245000	0.0	0.12042793	-0.004980124	-0.04566323	0.7638925	0.008627168	0.07180001	79.0	226.92931580543518
49	0.81666666	0.4099458	1.0	-0.1	154.7	0.34601098	0.13622808	0.603837	0.085571125	250000	8.940697e-09	0.107899055	-0.0030524917	-0.04007557	0.75584626	0.005645319	0.0394	79.0	232.32750248908997
50	0.7066667	0.48643833	1.0	-0.1	155.76666	0.36284262	0.12861383	0.5964353	0.06477888	255000	-2.9802323e-09	0.106473625	-0.004278018	-0.0331537	0.7612566	0.008577015	0.050199997	79.0	237.93954706192017
51	0.84285706	0.38491982	1.0	-0.1	161.92857	0.35772246	0.13289936	0.5717589	0.09818989	260000	5.9604646e-09	0.080062345	-0.0040763794	-0.018898945	0.77024615	0.006988791	0.055400003	79.0	243.28879022598267
52	0.9633333	0.19745605	1.0	-0.1	155.33333	0.3682016	0.13839725	0.6036737	-0.061572514	265000	2.9802322e-08	0.08410238	-0.004615091	-0.02676035	0.76076853	0.0066050543	0.0558	79.0	248.61296939849854
53	0.9290322	0.27023715	1.0	-0.1	149.0	0.4818936	0.053676505	0.5487855	0.28486192	270000	2.7567149e-08	0.061074458	-0.0029989858	-0.007867811	0.7470573	0.0047328444	0.0388	79.0	254.02771496772766
54	0.79375005	0.4293436	1.0	-0.1	144.09375	0.48094615	0.0685075	0.54015017	0.13550824	275000	-1.2665987e-08	0.09331806	-0.003875699	-0.024808943	0.7400403	0.004716684	0.050600003	79.0	259.3994023799896
55	0.9352941	0.2588235	1.0	-0.1	139.64706	0.41097412	0.099234335	0.58179843	0.10239106	280000	1.4901161e-09	0.07302278	-0.0039240993	-0.01827976	0.73996174	0.0078532845	0.0486	79.0	265.0823414325714
56	0.9685715	0.18325847	1.0	-0.1	136.8	0.5031556	0.075459495	0.6091571	0.21886376	285000	0.0	0.052732795	-0.0029272449	-0.0071176765	0.73830724	0.0020288313	0.0404	79.0	270.5842866897583
